No.,Fecha inicial corte,Fecha final corte,Departamento,Municipio,Comunidad (Si aplica),Clasificación,Tema,Subtema,Tipo de dato (medida),No. De personas/porcentaje/eventos,No. De mujeres mayores de edad,No. De hombres mayores de edad,No. De mujeres menores de edad,No. De hombres menores de edad,Madres gestantes,Grupo étnico,Si es indígena indique pueblo,Texto descriptivo,Link información,Link Registro fotográfico,Observación
507,2020-03-02,2021-08-29,CORDOBA,CERETE,No indica,Análisis situacional,COVID 19,Contagio,Número,7164.0,3607,2987,297,273,No indica,No indica,No indica,En el municipio de CERETE se tiene un total de Contagio 7164,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
508,2020-03-02,2021-08-29,CORDOBA,CHIMA,No indica,Análisis situacional,COVID 19,Contagio,Número,505.0,249,210,23,23,No indica,No indica,No indica,En el municipio de CHIMA se tiene un total de Contagio 505,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
509,2020-03-02,2021-08-29,CORDOBA,CHINU,No indica,Análisis situacional,COVID 19,Contagio,Número,2821.0,1336,1105,191,189,No indica,No indica,No indica,En el municipio de CHINU se tiene un total de Contagio 2821,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
510,2020-03-02,2021-08-29,CORDOBA,CIENAGA DE ORO,No indica,Análisis situacional,COVID 19,Contagio,Número,3230.0,1545,1341,176,168,No indica,No indica,No indica,En el municipio de CIENAGA DE ORO se tiene un total de Contagio 3230,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
511,2020-03-02,2021-08-29,CORDOBA,COTORRA,No indica,Análisis situacional,COVID 19,Contagio,Número,1019.0,519,401,44,55,No indica,No indica,No indica,En el municipio de COTORRA se tiene un total de Contagio 1019,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
512,2020-03-02,2021-08-29,CORDOBA,LA APARTADA,No indica,Análisis situacional,COVID 19,Contagio,Número,462.0,224,204,19,15,No indica,No indica,No indica,En el municipio de LA APARTADA se tiene un total de Contagio 462,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
513,2020-03-02,2021-08-29,CORDOBA,LORICA,No indica,Análisis situacional,COVID 19,Contagio,Número,5430.0,2820,2084,276,250,No indica,No indica,No indica,En el municipio de LORICA se tiene un total de Contagio 5430,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
514,2020-03-02,2021-08-29,CORDOBA,LOS CORDOBAS,No indica,Análisis situacional,COVID 19,Contagio,Número,342.0,166,142,18,16,No indica,No indica,No indica,En el municipio de LOS CORDOBAS se tiene un total de Contagio 342,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
515,2020-03-02,2021-08-29,CORDOBA,MOMIL,No indica,Análisis situacional,COVID 19,Contagio,Número,751.0,381,297,36,37,No indica,No indica,No indica,En el municipio de MOMIL se tiene un total de Contagio 751,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
516,2020-03-02,2021-08-29,CORDOBA,MONTELIBANO,No indica,Análisis situacional,COVID 19,Contagio,Número,3820.0,1764,1694,177,185,No indica,No indica,No indica,En el municipio de MONTELIBANO se tiene un total de Contagio 3820,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
517,2020-03-02,2021-08-29,CORDOBA,MONTERIA,No indica,Análisis situacional,COVID 19,Contagio,Número,53311.0,26308,21609,2744,2650,No indica,No indica,No indica,En el municipio de MONTERIA se tiene un total de Contagio 53311,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
518,2020-03-02,2021-08-29,CORDOBA,MOÑITOS,No indica,Análisis situacional,COVID 19,Contagio,Número,596.0,302,197,56,41,No indica,No indica,No indica,En el municipio de MOÑITOS se tiene un total de Contagio 596,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
519,2020-03-02,2021-08-29,CORDOBA,PLANETA RICA,No indica,Análisis situacional,COVID 19,Contagio,Número,2590.0,1270,1068,138,114,No indica,No indica,No indica,En el municipio de PLANETA RICA se tiene un total de Contagio 2590,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
520,2020-03-02,2021-08-29,CORDOBA,PUEBLO NUEVO,No indica,Análisis situacional,COVID 19,Contagio,Número,1716.0,841,642,119,114,No indica,No indica,No indica,En el municipio de PUEBLO NUEVO se tiene un total de Contagio 1716,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
521,2020-03-02,2021-08-29,CORDOBA,PUERTO ESCONDIDO,No indica,Análisis situacional,COVID 19,Contagio,Número,438.0,209,158,40,31,No indica,No indica,No indica,En el municipio de PUERTO ESCONDIDO se tiene un total de Contagio 438,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
522,2020-03-02,2021-08-29,CORDOBA,PUERTO LIBERTADOR,No indica,Análisis situacional,COVID 19,Contagio,Número,842.0,398,372,43,29,No indica,No indica,No indica,En el municipio de PUERTO LIBERTADOR se tiene un total de Contagio 842,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
523,2020-03-02,2021-08-29,CORDOBA,PURISIMA,No indica,Análisis situacional,COVID 19,Contagio,Número,320.0,166,130,10,14,No indica,No indica,No indica,En el municipio de PURISIMA se tiene un total de Contagio 320,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
524,2020-03-02,2021-08-29,CORDOBA,SAHAGUN,No indica,Análisis situacional,COVID 19,Contagio,Número,6139.0,2988,2633,262,256,No indica,No indica,No indica,En el municipio de SAHAGUN se tiene un total de Contagio 6139,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
525,2020-03-02,2021-08-29,CORDOBA,SAN ANDRES SOTAVENTO,No indica,Análisis situacional,COVID 19,Contagio,Número,1078.0,526,396,83,73,No indica,No indica,No indica,En el municipio de SAN ANDRES SOTAVENTO se tiene un total de Contagio 1078,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
526,2020-03-02,2021-08-29,CORDOBA,SAN ANTERO,No indica,Análisis situacional,COVID 19,Contagio,Número,1112.0,555,406,76,75,No indica,No indica,No indica,En el municipio de SAN ANTERO se tiene un total de Contagio 1112,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
527,2020-03-02,2021-08-29,CORDOBA,SAN BERNARDO DEL VIENTO,No indica,Análisis situacional,COVID 19,Contagio,Número,748.0,356,279,67,46,No indica,No indica,No indica,En el municipio de SAN BERNARDO DEL VIENTO se tiene un total de Contagio 748,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
528,2020-03-02,2021-08-29,CORDOBA,SAN CARLOS,No indica,Análisis situacional,COVID 19,Contagio,Número,672.0,304,305,30,33,No indica,No indica,No indica,En el municipio de SAN CARLOS se tiene un total de Contagio 672,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
529,2020-03-02,2021-08-29,CORDOBA,SAN JOSE DE URE,No indica,Análisis situacional,COVID 19,Contagio,Número,261.0,131,93,17,20,No indica,No indica,No indica,En el municipio de SAN JOSE DE URE se tiene un total de Contagio 261,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
530,2020-03-02,2021-08-29,CORDOBA,SAN PELAYO,No indica,Análisis situacional,COVID 19,Contagio,Número,2023.0,1010,798,119,96,No indica,No indica,No indica,En el municipio de SAN PELAYO se tiene un total de Contagio 2023,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
531,2020-03-02,2021-08-29,CORDOBA,TIERRALTA,No indica,Análisis situacional,COVID 19,Contagio,Número,1922.0,962,777,91,92,No indica,No indica,No indica,En el municipio de TIERRALTA se tiene un total de Contagio 1922,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
532,2020-03-02,2021-08-29,CORDOBA,TUCHIN,No indica,Análisis situacional,COVID 19,Contagio,Número,1116.0,521,381,134,80,No indica,No indica,No indica,En el municipio de TUCHIN se tiene un total de Contagio 1116,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
533,2020-03-02,2021-08-29,CORDOBA,VALENCIA,No indica,Análisis situacional,COVID 19,Contagio,Número,749.0,384,320,24,21,No indica,No indica,No indica,En el municipio de VALENCIA se tiene un total de Contagio 749,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
534,2020-03-02,2021-08-29,CORDOBA,momil,No indica,Análisis situacional,COVID 19,Contagio,Número,1.0,1,0,0,0,No indica,No indica,No indica,En el municipio de momil se tiene un total de Contagio 1,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
535,2020-03-02,2021-08-29,CUNDINAMARCA,AGUA DE DIOS,No indica,Análisis situacional,COVID 19,Contagio,Número,748.0,355,330,20,43,No indica,No indica,No indica,En el municipio de AGUA DE DIOS se tiene un total de Contagio 748,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
536,2020-03-02,2021-08-29,CUNDINAMARCA,ALBAN,No indica,Análisis situacional,COVID 19,Contagio,Número,200.0,99,79,7,15,No indica,No indica,No indica,En el municipio de ALBAN se tiene un total de Contagio 200,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
537,2020-03-02,2021-08-29,CUNDINAMARCA,ANAPOIMA,No indica,Análisis situacional,COVID 19,Contagio,Número,1332.0,640,575,53,64,No indica,No indica,No indica,En el municipio de ANAPOIMA se tiene un total de Contagio 1332,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
538,2020-03-02,2021-08-29,CUNDINAMARCA,ANOLAIMA,No indica,Análisis situacional,COVID 19,Contagio,Número,437.0,213,181,23,20,No indica,No indica,No indica,En el municipio de ANOLAIMA se tiene un total de Contagio 437,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
539,2020-03-02,2021-08-29,CUNDINAMARCA,ARBELAEZ,No indica,Análisis situacional,COVID 19,Contagio,Número,692.0,360,279,28,25,No indica,No indica,No indica,En el municipio de ARBELAEZ se tiene un total de Contagio 692,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
540,2020-03-02,2021-08-29,CUNDINAMARCA,BELTRAN,No indica,Análisis situacional,COVID 19,Contagio,Número,19.0,11,8,0,0,No indica,No indica,No indica,En el municipio de BELTRAN se tiene un total de Contagio 19,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
541,2020-03-02,2021-08-29,CUNDINAMARCA,BITUIMA,No indica,Análisis situacional,COVID 19,Contagio,Número,43.0,16,18,1,8,No indica,No indica,No indica,En el municipio de BITUIMA se tiene un total de Contagio 43,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
542,2020-03-02,2021-08-29,CUNDINAMARCA,BOJACA,No indica,Análisis situacional,COVID 19,Contagio,Número,681.0,355,288,20,18,No indica,No indica,No indica,En el municipio de BOJACA se tiene un total de Contagio 681,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
543,2020-03-02,2021-08-29,CUNDINAMARCA,CABRERA,No indica,Análisis situacional,COVID 19,Contagio,Número,124.0,52,57,5,10,No indica,No indica,No indica,En el municipio de CABRERA se tiene un total de Contagio 124,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
544,2020-03-02,2021-08-29,CUNDINAMARCA,CACHIPAY,No indica,Análisis situacional,COVID 19,Contagio,Número,358.0,161,169,15,13,No indica,No indica,No indica,En el municipio de CACHIPAY se tiene un total de Contagio 358,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
545,2020-03-02,2021-08-29,CUNDINAMARCA,CAJICA,No indica,Análisis situacional,COVID 19,Contagio,Número,13741.0,6629,5789,673,650,No indica,No indica,No indica,En el municipio de CAJICA se tiene un total de Contagio 13741,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
546,2020-03-02,2021-08-29,CUNDINAMARCA,CAPARRAPI,No indica,Análisis situacional,COVID 19,Contagio,Número,251.0,104,121,16,10,No indica,No indica,No indica,En el municipio de CAPARRAPI se tiene un total de Contagio 251,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
547,2020-03-02,2021-08-29,CUNDINAMARCA,CAQUEZA,No indica,Análisis situacional,COVID 19,Contagio,Número,950.0,367,551,23,9,No indica,No indica,No indica,En el municipio de CAQUEZA se tiene un total de Contagio 950,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
548,2020-03-02,2021-08-29,CUNDINAMARCA,CARMEN DE CARUPA,No indica,Análisis situacional,COVID 19,Contagio,Número,272.0,134,114,10,14,No indica,No indica,No indica,En el municipio de CARMEN DE CARUPA se tiene un total de Contagio 272,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
549,2020-03-02,2021-08-29,CUNDINAMARCA,CHAGUANI,No indica,Análisis situacional,COVID 19,Contagio,Número,192.0,90,80,14,8,No indica,No indica,No indica,En el municipio de CHAGUANI se tiene un total de Contagio 192,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
550,2020-03-02,2021-08-29,CUNDINAMARCA,CHIA,No indica,Análisis situacional,COVID 19,Contagio,Número,21634.0,10515,8687,1175,1257,No indica,No indica,No indica,En el municipio de CHIA se tiene un total de Contagio 21634,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
551,2020-03-02,2021-08-29,CUNDINAMARCA,CHIPAQUE,No indica,Análisis situacional,COVID 19,Contagio,Número,413.0,187,215,8,3,No indica,No indica,No indica,En el municipio de CHIPAQUE se tiene un total de Contagio 413,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
552,2020-03-02,2021-08-29,CUNDINAMARCA,CHOACHI,No indica,Análisis situacional,COVID 19,Contagio,Número,576.0,287,214,41,34,No indica,No indica,No indica,En el municipio de CHOACHI se tiene un total de Contagio 576,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
553,2020-03-02,2021-08-29,CUNDINAMARCA,CHOCONTA,No indica,Análisis situacional,COVID 19,Contagio,Número,1036.0,502,438,54,42,No indica,No indica,No indica,En el municipio de CHOCONTA se tiene un total de Contagio 1036,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
554,2020-03-02,2021-08-29,CUNDINAMARCA,COGUA,No indica,Análisis situacional,COVID 19,Contagio,Número,1924.0,929,861,71,63,No indica,No indica,No indica,En el municipio de COGUA se tiene un total de Contagio 1924,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
555,2020-03-02,2021-08-29,CUNDINAMARCA,COTA,No indica,Análisis situacional,COVID 19,Contagio,Número,3528.0,1645,1435,200,248,No indica,No indica,No indica,En el municipio de COTA se tiene un total de Contagio 3528,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
556,2020-03-02,2021-08-29,CUNDINAMARCA,CUCUNUBA,No indica,Análisis situacional,COVID 19,Contagio,Número,306.0,109,189,2,6,No indica,No indica,No indica,En el municipio de CUCUNUBA se tiene un total de Contagio 306,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
557,2020-03-02,2021-08-29,CUNDINAMARCA,EL COLEGIO,No indica,Análisis situacional,COVID 19,Contagio,Número,1339.0,617,646,27,49,No indica,No indica,No indica,En el municipio de EL COLEGIO se tiene un total de Contagio 1339,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
558,2020-03-02,2021-08-29,CUNDINAMARCA,EL PEÑON,No indica,Análisis situacional,COVID 19,Contagio,Número,34.0,15,18,0,1,No indica,No indica,No indica,En el municipio de EL PEÑON se tiene un total de Contagio 34,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
559,2020-03-02,2021-08-29,CUNDINAMARCA,EL ROSAL,No indica,Análisis situacional,COVID 19,Contagio,Número,1531.0,787,620,63,61,No indica,No indica,No indica,En el municipio de EL ROSAL se tiene un total de Contagio 1531,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
560,2020-03-02,2021-08-29,CUNDINAMARCA,FACATATIVA,No indica,Análisis situacional,COVID 19,Contagio,Número,12385.0,6149,5391,431,414,No indica,No indica,No indica,En el municipio de FACATATIVA se tiene un total de Contagio 12385,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
561,2020-03-02,2021-08-29,CUNDINAMARCA,FOMEQUE,No indica,Análisis situacional,COVID 19,Contagio,Número,425.0,197,206,10,12,No indica,No indica,No indica,En el municipio de FOMEQUE se tiene un total de Contagio 425,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
562,2020-03-02,2021-08-29,CUNDINAMARCA,FOSCA,No indica,Análisis situacional,COVID 19,Contagio,Número,134.0,60,57,9,8,No indica,No indica,No indica,En el municipio de FOSCA se tiene un total de Contagio 134,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
563,2020-03-02,2021-08-29,CUNDINAMARCA,FUNZA,No indica,Análisis situacional,COVID 19,Contagio,Número,12152.0,5960,5157,502,533,No indica,No indica,No indica,En el municipio de FUNZA se tiene un total de Contagio 12152,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
564,2020-03-02,2021-08-29,CUNDINAMARCA,FUQUENE,No indica,Análisis situacional,COVID 19,Contagio,Número,232.0,111,104,9,8,No indica,No indica,No indica,En el municipio de FUQUENE se tiene un total de Contagio 232,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
565,2020-03-02,2021-08-29,CUNDINAMARCA,FUSAGASUGA,No indica,Análisis situacional,COVID 19,Contagio,Número,16203.0,7863,7121,648,571,No indica,No indica,No indica,En el municipio de FUSAGASUGA se tiene un total de Contagio 16203,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
566,2020-03-02,2021-08-29,CUNDINAMARCA,GACHALA,No indica,Análisis situacional,COVID 19,Contagio,Número,159.0,73,72,4,10,No indica,No indica,No indica,En el municipio de GACHALA se tiene un total de Contagio 159,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
567,2020-03-02,2021-08-29,CUNDINAMARCA,GACHANCIPA,No indica,Análisis situacional,COVID 19,Contagio,Número,1595.0,769,648,89,89,No indica,No indica,No indica,En el municipio de GACHANCIPA se tiene un total de Contagio 1595,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
568,2020-03-02,2021-08-29,CUNDINAMARCA,GACHETA,No indica,Análisis situacional,COVID 19,Contagio,Número,393.0,175,191,15,12,No indica,No indica,No indica,En el municipio de GACHETA se tiene un total de Contagio 393,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
569,2020-03-02,2021-08-29,CUNDINAMARCA,GAMA,No indica,Análisis situacional,COVID 19,Contagio,Número,82.0,43,37,1,1,No indica,No indica,No indica,En el municipio de GAMA se tiene un total de Contagio 82,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
570,2020-03-02,2021-08-29,CUNDINAMARCA,GIRARDOT,No indica,Análisis situacional,COVID 19,Contagio,Número,14419.0,6984,6260,578,597,No indica,No indica,No indica,En el municipio de GIRARDOT se tiene un total de Contagio 14419,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
571,2020-03-02,2021-08-29,CUNDINAMARCA,GRANADA,No indica,Análisis situacional,COVID 19,Contagio,Número,339.0,177,127,20,15,No indica,No indica,No indica,En el municipio de GRANADA se tiene un total de Contagio 339,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
572,2020-03-02,2021-08-29,CUNDINAMARCA,GUACHETA,No indica,Análisis situacional,COVID 19,Contagio,Número,622.0,232,350,17,23,No indica,No indica,No indica,En el municipio de GUACHETA se tiene un total de Contagio 622,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
573,2020-03-02,2021-08-29,CUNDINAMARCA,GUADUAS,No indica,Análisis situacional,COVID 19,Contagio,Número,1892.0,663,1123,43,63,No indica,No indica,No indica,En el municipio de GUADUAS se tiene un total de Contagio 1892,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
574,2020-03-02,2021-08-29,CUNDINAMARCA,GUASCA,No indica,Análisis situacional,COVID 19,Contagio,Número,802.0,386,319,55,42,No indica,No indica,No indica,En el municipio de GUASCA se tiene un total de Contagio 802,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
575,2020-03-02,2021-08-29,CUNDINAMARCA,GUATAQUI,No indica,Análisis situacional,COVID 19,Contagio,Número,68.0,28,37,2,1,No indica,No indica,No indica,En el municipio de GUATAQUI se tiene un total de Contagio 68,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
576,2020-03-02,2021-08-29,CUNDINAMARCA,GUATAVITA,No indica,Análisis situacional,COVID 19,Contagio,Número,372.0,168,146,40,18,No indica,No indica,No indica,En el municipio de GUATAVITA se tiene un total de Contagio 372,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
577,2020-03-02,2021-08-29,CUNDINAMARCA,GUAYABAL DE SIQUIMA,No indica,Análisis situacional,COVID 19,Contagio,Número,107.0,67,28,4,8,No indica,No indica,No indica,En el municipio de GUAYABAL DE SIQUIMA se tiene un total de Contagio 107,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
578,2020-03-02,2021-08-29,CUNDINAMARCA,GUAYABETAL,No indica,Análisis situacional,COVID 19,Contagio,Número,172.0,75,88,6,3,No indica,No indica,No indica,En el municipio de GUAYABETAL se tiene un total de Contagio 172,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
579,2020-03-02,2021-08-29,CUNDINAMARCA,GUTIERREZ,No indica,Análisis situacional,COVID 19,Contagio,Número,63.0,25,35,1,2,No indica,No indica,No indica,En el municipio de GUTIERREZ se tiene un total de Contagio 63,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
580,2020-03-02,2021-08-29,CUNDINAMARCA,JERUSALEN,No indica,Análisis situacional,COVID 19,Contagio,Número,28.0,9,11,5,3,No indica,No indica,No indica,En el municipio de JERUSALEN se tiene un total de Contagio 28,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
581,2020-03-02,2021-08-29,CUNDINAMARCA,JUNIN,No indica,Análisis situacional,COVID 19,Contagio,Número,121.0,66,41,8,6,No indica,No indica,No indica,En el municipio de JUNIN se tiene un total de Contagio 121,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
582,2020-03-02,2021-08-29,CUNDINAMARCA,LA CALERA,No indica,Análisis situacional,COVID 19,Contagio,Número,2680.0,1265,1104,152,159,No indica,No indica,No indica,En el municipio de LA CALERA se tiene un total de Contagio 2680,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
583,2020-03-02,2021-08-29,CUNDINAMARCA,LA MESA,No indica,Análisis situacional,COVID 19,Contagio,Número,2813.0,1328,1272,113,100,No indica,No indica,No indica,En el municipio de LA MESA se tiene un total de Contagio 2813,https://www.datos.gov.co/Salud-y-Protecci-n-Social/Casos-positivos-de-COVID-19-en-Colombia/gt2j-8ykr,No aplica,
